"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"40","#TraficoGT  trabajador fallecido en la gasolinera de Montufar zona 9 QEPD @amilcarmontejo https://t.co/AVSFSZUxNh",FALSE,0,NA,2019-10-19 18:12:35,FALSE,NA,"1185619771674550273",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GoldindeBonilla",0,FALSE,FALSE,NA,NA
"41","RT @ConsejoMontejo: Esta placa la encontró Charly Hernández. Si es suya por favor comunicarse al número de teléfono 4014-7891.

Gracias por…",FALSE,0,NA,2019-10-19 18:12:09,FALSE,NA,"1185619661146206210",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JacoboHGarcia1",61,TRUE,FALSE,NA,NA
"42","RT @amilcarmontejo: Autobús extraurbano con fallas mecánicas en 7 avenida 2-50 #TransitoGT zona 9.

Adelmo Cardona informa que coordinaron…",FALSE,0,NA,2019-10-19 18:07:39,FALSE,NA,"1185618527723687936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AntonyEff",3,TRUE,FALSE,NA,NA
"43","Autobús extraurbano con fallas mecánicas en 7 avenida 2-50 #TransitoGT zona 9.

Adelmo Cardona informa que coordina… https://t.co/cqT0EHaPXD",FALSE,7,NA,2019-10-19 18:02:28,TRUE,NA,"1185617225438453760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amilcarmontejo",3,FALSE,FALSE,NA,NA
"44","RT @amilcarmontejo: Ataque armado. 

Reportan un hombre fallecido dentro del área privada de Calle Montúfar 0 avenida #TransitoGT zona 9.…",FALSE,0,NA,2019-10-19 17:49:43,FALSE,NA,"1185614016615464960",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alehq80",12,TRUE,FALSE,NA,NA
"45","RT @prensa_libre: #TráficoGT | Reportan tránsito lento para ingresar a Chimaltenango por la ruta Interamericana. https://t.co/hPzTuEASo7",FALSE,0,NA,2019-10-19 17:47:57,FALSE,NA,"1185613570265866240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mar1oxz5",8,TRUE,FALSE,NA,NA
"46","RT @prensa_libre: #TráficoGT | Reportan tránsito lento para ingresar a Chimaltenango por la ruta Interamericana. https://t.co/hPzTuEASo7",FALSE,0,NA,2019-10-19 17:42:43,FALSE,NA,"1185612252658962433",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Franrock182",8,TRUE,FALSE,NA,NA
"47","RT @amilcarmontejo: Ataque armado. 

Reportan un hombre fallecido dentro del área privada de Calle Montúfar 0 avenida #TransitoGT zona 9.…",FALSE,0,NA,2019-10-19 17:41:29,FALSE,NA,"1185611943224238080",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","selvingiron3",12,TRUE,FALSE,NA,NA
"48","RT @amilcarmontejo: Ataque armado. 

Reportan un hombre fallecido dentro del área privada de Calle Montúfar 0 avenida #TransitoGT zona 9.…",FALSE,0,NA,2019-10-19 17:40:48,FALSE,NA,"1185611773170405376",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","victor_dlrs",12,TRUE,FALSE,NA,NA
"49","RT @amilcarmontejo: Ataque armado. 

Reportan un hombre fallecido dentro del área privada de Calle Montúfar 0 avenida #TransitoGT zona 9.…",FALSE,0,NA,2019-10-19 17:32:03,FALSE,NA,"1185609570196033539",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","less_rodri",12,TRUE,FALSE,NA,NA
"50","RT @amilcarmontejo: Ataque armado. 

Reportan un hombre fallecido dentro del área privada de Calle Montúfar 0 avenida #TransitoGT zona 9.…",FALSE,0,NA,2019-10-19 17:24:34,FALSE,NA,"1185607685548531713",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ana78419017",12,TRUE,FALSE,NA,NA
"51","RT @ConsejoMontejo: Esta placa la encontró Charly Hernández. Si es suya por favor comunicarse al número de teléfono 4014-7891.

Gracias por…",FALSE,0,NA,2019-10-19 17:24:10,FALSE,NA,"1185607586583908352",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aurimarideleon1",61,TRUE,FALSE,NA,NA
"52","RT @amilcarmontejo: Ataque armado. 

Reportan un hombre fallecido dentro del área privada de Calle Montúfar 0 avenida #TransitoGT zona 9.…",FALSE,0,NA,2019-10-19 17:22:49,FALSE,NA,"1185607247449210882",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","eacuezzi",12,TRUE,FALSE,NA,NA
"53","RT @amilcarmontejo: Ataque armado. 

Reportan un hombre fallecido dentro del área privada de Calle Montúfar 0 avenida #TransitoGT zona 9.…",FALSE,0,NA,2019-10-19 17:21:29,FALSE,NA,"1185606909723844608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","100prebonita",12,TRUE,FALSE,NA,NA
"54","RT @amilcarmontejo: Ataque armado. 

Reportan un hombre fallecido dentro del área privada de Calle Montúfar 0 avenida #TransitoGT zona 9.…",FALSE,0,NA,2019-10-19 17:21:19,FALSE,NA,"1185606866082107392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nelys66",12,TRUE,FALSE,NA,NA
"55","RT @amilcarmontejo: Ataque armado. 

Reportan un hombre fallecido dentro del área privada de Calle Montúfar 0 avenida #TransitoGT zona 9.…",FALSE,0,NA,2019-10-19 17:20:50,FALSE,NA,"1185606746083119104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ANDREE_CFG",12,TRUE,FALSE,NA,NA
"56","Ataque armado. 

Reportan un hombre fallecido dentro del área privada de Calle Montúfar 0 avenida #TransitoGT zona… https://t.co/qJxbo5hjMF",FALSE,15,NA,2019-10-19 17:19:45,TRUE,NA,"1185606474657079297",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amilcarmontejo",12,FALSE,FALSE,NA,NA
"57","RT @ConsejoMontejo: Esta placa la encontró Charly Hernández. Si es suya por favor comunicarse al número de teléfono 4014-7891.

Gracias por…",FALSE,0,NA,2019-10-19 17:14:07,FALSE,NA,"1185605055828975618",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","delmarjimo1",61,TRUE,FALSE,NA,NA
"58","RT @VosDaviid: Mi Guate y sus conductores imprudentes.
Zona 6, Boulevard La Pedrera.
#traficogt #TransitoGT

Cc @amilcarmontejo @traficogt…",FALSE,0,NA,2019-10-19 17:05:14,FALSE,NA,"1185602821254778880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ari25sof",29,TRUE,FALSE,NA,NA
"59","RT @desastresgt: Corrección Km. 60 carretera Autopista Palín, Escuintla. Accidente vial y daño estructural a Carro Tanque con 2K galones as…",FALSE,0,NA,2019-10-19 16:53:43,FALSE,NA,"1185599921862381574",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fermuralles9",2,TRUE,FALSE,NA,NA
"60","#TráficoGT | Reportan tránsito lento en ingreso a Chimaltenango por la ruta Interamericana. https://t.co/f2fIKLN2LY",FALSE,12,NA,2019-10-19 16:46:26,FALSE,NA,"1185598088364335104",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Guatevision_tv",1,FALSE,FALSE,NA,NA
"61","#TráficoGT | Reportan tránsito lento para ingresar a Chimaltenango por la ruta Interamericana. https://t.co/hPzTuEASo7",FALSE,18,NA,2019-10-19 16:37:29,FALSE,NA,"1185595839072391169",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","prensa_libre",8,FALSE,FALSE,NA,NA
"62","Este es el desmadre de #TraficoGT en la Marti. https://t.co/b0CVhIkqBC",FALSE,0,NA,2019-10-19 16:35:43,FALSE,NA,"1185595390944526336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Lictobar",0,FALSE,FALSE,NA,NA
"63","#Traficogt fuerte en Carretrra al Atlántico, hacia Puente Belice.
@amilcarmontejo https://t.co/IyZrjU0LlT",FALSE,6,NA,2019-10-19 16:19:32,FALSE,NA,"1185591319630110725",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Lictobar",0,FALSE,FALSE,NA,NA
